age,gender,height,weight
21856,2,177,80
21237,2,178,120
19589,1,156,60
19011,1,160,73
18230,1,171,74
20057,1,162,70
14895,1,169,65
21163,2,167,61
22630,2,180,100
19474,1,152,68
19863,1,152,50
21901,1,160,54
16115,2,159,74
18273,2,176,98
19093,1,160,70
18353,2,157,63
19782,2,156,52
21993,2,175,92
20286,1,156,64
15192,1,166,98
20631,1,162,85
20412,2,175,57
20302,1,172,78
18107,1,170,68
21907,1,160,70
16864,2,165,75
18032,1,164,54
14610,2,171,88
15226,1,150,95
19099,1,156,65
19649,1,165,68
18825,2,164,68
19756,1,152,60
19136,1,165,92
19115,1,170,101
21966,1,159,101
19589,1,158,86
14681,1,174,84
18983,1,164,73
19066,1,160,75
16091,1,172,52
21939,2,160,85
15975,1,158,69
16822,1,147,61
21681,2,167,73
18056,1,170,90
18958,1,149,62
19801,1,168,80
20571,1,159,68
22464,1,161,62
21791,1,150,88
17381,1,151,117
20449,1,151,53
21197,1,162,60
21985,1,168,65
20463,1,166,69
22616,2,168,69
18387,1,148,59
14549,2,182,60
16987,2,170,74
20389,1,158,60
22505,2,162,73
16822,1,165,64
22737,1,166,76
19740,2,173,74
21179,1,162,70
22061,1,169,62
21013,2,164,62
19632,1,167,90
16943,2,169,75
21016,1,162,84
21161,2,170,65
15214,1,159,104
19924,1,167,70
19005,2,176,90
21398,1,170,88
15991,1,156,60
19484,2,170,70
15922,1,158,76
22023,1,148,50
14365,1,170,67
21239,1,165,69
21025,1,162,78
21863,1,152,54
20647,2,171,78
19436,2,165,68
19731,1,164,85
16729,1,169,73
21090,1,147,64
18163,1,159,62
20369,2,161,83
15337,1,160,52
19650,1,164,85
18021,1,165,67
15447,1,171,75
19460,1,170,76
23307,1,164,80
18980,2,178,85
23334,1,147,110
22781,1,167,100
21159,2,160,55
18015,2,171,98
19481,1,156,72
23291,1,167,87
17580,1,168,79
19908,1,147,60
19834,2,175,70
20705,1,159,55
14480,1,165,74
23578,1,157,69
18115,1,160,84
15357,1,160,90
18390,1,158,60
16758,1,166,62
20430,2,173,101
16719,1,153,63
16216,1,160,82
19586,2,164,59
14824,1,165,80
22564,1,159,60
16488,2,175,95
18382,1,161,87
21281,1,168,78
16034,1,176,96
17420,2,175,88
21974,2,161,71
19734,1,160,76
17487,1,168,72
18131,1,154,55
22574,2,174,74
17528,2,165,60
16543,1,154,87
15291,1,161,73
17434,2,169,73
20606,2,178,95
19692,1,160,57
18935,2,160,63
21102,2,164,58
21430,1,165,78
23281,1,170,95
20280,1,160,91
15378,1,164,79
17612,1,158,59
19010,2,173,77
19669,1,150,65
16037,1,164,70
14705,1,164,125
18441,2,157,60
19126,1,156,73
19734,1,168,69
20339,1,163,66
16654,1,151,70
23493,2,165,79
14489,2,170,97
23296,1,155,65
21154,2,168,91
18158,1,162,76
18911,1,160,67
23455,1,157,64
19547,1,169,70
17999,2,178,81
21933,1,163,65
22552,2,160,74
20344,2,165,78
23424,2,161,50
18314,1,167,67
18486,1,161,80
17503,2,167,70
18963,1,165,92
21122,1,163,106
17388,1,166,60
22738,1,151,70
16018,2,166,58
19674,2,170,81
19042,1,165,62
21122,1,162,60
18946,1,153,99
20661,2,168,73
16756,1,158,64
20411,1,161,75
19786,2,184,84
14533,1,168,47
15283,2,178,103
16675,1,160,114
21287,2,174,95
16229,1,160,72
18761,1,158,89
21644,1,160,85
21738,1,165,78
16677,2,174,83
21406,1,167,80
20457,2,169,68
18209,1,165,55
23370,1,165,70
23391,1,170,92
18470,1,168,72
17370,2,173,95
19593,1,152,62
23653,1,154,79
17329,1,170,70
20284,1,158,86
22048,1,163,72
18314,2,178,80
21257,1,158,85
18190,1,166,57
19646,1,160,78
15440,2,169,65
18288,2,172,77
21842,1,156,72
21068,1,165,67
15423,1,165,63
20339,2,160,66
20311,1,154,69
23463,2,170,72
18235,1,162,62
18117,1,162,71
15377,1,168,75
19203,1,160,48
18779,1,162,56
20281,1,160,60
21094,2,167,90
16871,2,179,74
18119,1,156,93
20508,1,160,55
23155,2,174,86
21252,2,176,97
16231,1,150,70
15928,2,163,70
23259,2,170,69
19054,1,150,61
15970,1,162,88
18265,2,168,75
14598,2,176,82
14611,1,152,57
17511,2,172,70
20310,1,169,75
14562,2,175,72
21921,1,157,78
23320,2,170,89
15282,1,162,78
21221,1,158,94
23391,2,157,71
17053,2,176,79
19676,1,161,91
15878,1,160,95
14650,2,168,68
23638,1,165,60
18816,1,162,68
22542,1,160,55
21101,2,170,90
19687,1,150,55
21802,2,162,62
22615,2,171,108
23475,1,165,68
22469,1,155,69
14648,1,163,71
21901,1,165,70
14549,2,165,85
23393,1,155,62
21143,1,164,61
18085,1,162,72
22547,1,161,93
21250,1,157,68
22446,1,158,65
16621,1,153,57
20442,2,169,82
23168,2,150,56
22598,1,176,72
20317,1,154,85
23558,1,159,60
20219,2,146,45
19559,1,165,90
20006,2,167,65
19054,1,154,70
23407,2,170,74
22833,1,150,56
20465,1,162,88
21737,2,167,74
19881,2,167,95
23587,1,163,103
17569,1,162,80
23385,1,151,63
16073,1,161,55
14647,2,183,91
14790,2,160,62
21126,1,164,77
21382,2,170,71
21652,2,167,70
15289,2,169,103
21163,1,155,83
16931,2,178,91
16151,1,169,69
16808,1,160,77
18879,2,171,113
15180,1,151,71
18996,1,179,129
21298,1,159,63
19624,1,170,60
19681,2,165,72
19086,1,165,65
21023,1,170,81
18152,1,174,94
17025,2,169,62
16012,2,162,76
17460,2,180,96
19750,1,170,69
19662,2,183,114
22801,1,164,79
19930,2,167,78
21128,2,168,73
15978,1,162,86
22442,1,161,94
20479,1,166,71
20927,2,163,96
22093,1,149,58
15381,2,160,68
14668,1,163,95
19203,1,160,71
19172,2,174,65
16542,2,170,96
18992,2,169,71
23406,1,151,58
22723,1,155,58
14572,1,161,82
19723,1,156,60
21103,1,166,70
22760,2,156,64
16208,2,179,87
15873,1,147,55
21276,2,171,86
19748,1,151,75
21336,1,174,65
21970,1,156,78
16884,2,174,68
17519,2,170,70
14539,1,152,72
23301,1,141,60
14473,1,173,73
21292,1,160,90
18112,2,169,74
16805,1,160,67
18946,1,152,124
19885,1,150,63
17285,1,167,75
21890,1,165,80
20307,1,165,95
23253,1,158,88
16003,1,159,77
22826,1,162,65
20488,1,176,120
15174,2,177,75
23203,2,172,74
22711,2,171,68
23222,2,173,90
21952,1,165,65
20415,1,165,75
14525,2,176,87
15433,2,172,90
18470,1,167,74
17317,1,168,68
20477,1,160,78
18173,1,164,84
15925,1,168,84
15472,2,170,80
21154,2,169,81
15393,2,178,79
20495,1,164,68
19811,1,163,63
20388,1,165,65
19700,2,160,58
21854,2,175,86
23194,1,152,64
19747,2,173,83
18235,1,156,60
17449,1,170,64
21817,2,164,75
23616,1,156,98
17405,1,155,79
19835,1,166,73
19639,2,163,51
15977,1,161,88
16068,2,174,61
23117,1,147,64
18873,1,174,86
15206,2,168,62
20345,2,167,84
15324,1,160,65
22552,1,160,67
21847,2,167,75
14635,1,166,105
19454,1,170,68
17360,2,172,90
14659,1,148,42
16307,2,171,115
20221,1,160,73
21297,1,173,88
20200,1,158,75
14890,2,165,60
19783,1,159,65
19068,1,170,70
18070,1,166,75
21232,1,167,75
15768,2,165,64
14373,1,169,67
18787,1,155,86
23154,1,165,95
15968,1,162,115
18187,1,158,69
21270,1,166,92
17545,1,156,116
20370,1,168,80
18131,1,160,83
23473,2,164,74
19671,1,162,75
23329,1,150,50
18227,1,167,70
19797,1,165,68
16182,2,171,71
15961,2,170,72
16882,1,166,100
18787,1,164,70
18332,2,160,67
19640,1,161,63
20631,1,161,68
15219,2,172,58
22149,2,178,107
19556,2,170,85
17476,2,174,75
22900,2,170,78
19905,1,165,75
22038,1,156,60
15207,2,174,105
16788,1,162,80
18297,1,165,83
18287,1,165,65
23190,2,168,80
17405,2,170,84
18296,1,170,59
15985,2,170,70
22415,1,169,68
22571,1,164,66
22562,1,160,72
15297,2,170,65
18856,1,153,69
21211,1,156,55
19532,1,160,79
17493,2,169,73
23206,1,164,92
15209,2,160,78
23363,1,164,74
21068,2,152,49
19722,2,167,78
18018,2,160,85
16709,1,156,62
20994,1,156,72
19614,1,163,63
19092,1,159,63
14404,1,166,64
23606,1,162,62
21192,1,159,74
20460,1,159,80
23350,1,159,60
20465,2,167,74
14636,1,172,93
19113,1,163,65
18094,1,154,65
23496,2,160,86
21978,1,169,65
22722,2,160,57
17599,1,164,80
22649,2,160,67
19890,2,163,71
16775,1,179,75
20211,1,167,68
18502,1,167,64
20433,1,168,65
19619,1,153,75
20180,1,158,74
19865,1,156,105
18275,2,174,92
16761,2,171,69
19792,1,163,60
21867,2,175,70
21114,1,163,62
22844,1,156,54
19724,1,169,85
23180,1,161,72
16759,1,159,56
15898,1,163,98
18894,1,159,63
19698,2,167,72
23406,2,175,90
21105,1,154,70
21282,2,170,63
19764,2,175,82
15970,1,167,69
22408,2,164,68
23319,1,151,55
15051,2,175,76
19843,2,167,87
18202,2,178,91
21184,1,165,88
18177,1,155,83
16835,2,178,86
19123,1,156,75
18287,1,160,59
15791,1,169,90
18369,1,167,81
14445,1,167,67
19700,1,161,94
21644,1,168,90
19080,1,156,123
18936,2,175,90
18002,2,175,89
16825,1,158,76
14568,2,174,68
14511,1,165,80
23376,1,162,84
18989,2,163,55
17081,2,162,60
19756,1,155,83
23077,1,144,73
21770,1,163,57
23544,2,165,67
19845,1,162,67
20959,1,160,65
19702,2,177,68
21969,2,178,92
21083,2,168,67
19653,2,160,75
19186,2,165,67
22518,2,164,72
16717,2,170,78
16195,1,160,100
18225,1,172,65
20926,2,168,68
20380,1,166,67
18380,1,163,60
14784,1,166,52
20474,1,156,76
15377,2,174,85
19554,1,158,87
21023,2,172,81
16898,2,169,68
19914,1,158,68
20116,2,185,116
23445,2,179,66
21897,1,154,110
15248,1,162,68
14672,1,160,62
19640,2,167,64
18951,1,168,78
18751,1,149,56
17371,1,156,74
20254,1,150,68
21043,2,168,82
23505,1,170,80
16174,1,160,58
20515,1,176,65
17554,1,156,50
15994,2,177,65
20468,1,164,95
15567,2,176,76
16513,2,163,84
19024,2,170,68
15355,1,163,76
16790,1,156,58
18283,2,170,65
22581,2,181,104
18261,2,174,82
17594,1,162,72
18199,1,164,95
19097,2,169,68
18182,2,177,77
18245,1,156,55
14715,1,166,64
22401,1,158,80
18398,2,165,62
23362,2,171,68
21118,1,158,79
23306,2,180,108
15973,1,163,60
15220,2,195,111
16781,1,163,68
14594,1,160,59
23247,1,160,76
16973,1,151,50
21874,1,168,64
15906,1,167,71
17277,2,165,53
21167,1,168,95
15933,1,170,65
16709,1,168,73
19439,1,161,59
19068,1,162,47
18302,1,160,66
21223,1,172,75
23097,2,171,79
21207,1,168,70
19691,1,149,65
19764,2,160,60
16025,1,160,60
17552,1,171,80
14722,1,140,68
18849,1,170,108
18818,1,165,78
18395,1,162,64
19710,2,178,66
16307,2,172,72
21379,2,170,65
17745,2,171,73
20421,1,147,55
15470,1,160,60
22029,1,180,102
20975,2,165,68
19096,2,174,70
22624,2,182,96
14453,1,158,59
15302,1,158,94
15558,2,174,65
18779,1,164,82
17481,1,165,93
18133,1,160,47
20555,2,168,72
21089,1,169,72
15344,2,170,87
19714,1,152,63
14537,2,165,68
14731,1,172,69
21107,2,169,76
20702,2,174,65
17500,2,170,90
21949,1,165,65
23414,1,160,81
21248,1,165,80
16720,1,167,66
23348,1,160,62
16715,2,165,65
16619,2,174,75
14780,1,156,55
19818,1,165,62
22474,2,175,74
22019,1,168,78
23297,2,175,70
20472,1,160,74
18165,2,168,92
20550,2,167,63
20344,1,152,55
19765,1,169,66
21740,1,172,70
18316,1,168,75
17458,2,170,75
23214,2,175,70
20779,2,175,66
18316,1,164,52
20374,2,175,69
16835,1,162,74
23195,1,172,85
18880,2,176,80
20451,2,165,65
22569,1,160,88
16758,2,170,84
18388,1,161,59
23373,2,170,69
20349,1,160,68
18284,2,175,88
23364,2,160,70
21092,2,174,100
21880,1,144,62
21021,2,176,70
16731,2,175,90
18934,1,155,60
22156,2,198,68
16100,1,170,65
17820,2,166,76
22670,1,154,92
18823,2,170,70
16991,1,168,70
19004,2,178,82
22678,2,169,69
15532,2,179,67
18027,1,158,90
22761,1,164,78
17608,2,168,68
20522,1,175,105
23260,1,165,68
20198,2,169,74
20207,2,170,70
20889,2,165,83
15303,2,158,63
18294,1,165,80
23485,1,157,69
15376,2,176,89
21029,1,165,75
16648,1,169,72
18188,1,165,83
14307,2,172,88
17493,2,169,74
23351,1,150,90
22678,1,169,71
15298,1,167,84
19769,2,166,72
21781,2,174,86
15243,1,165,65
21967,1,157,66
19136,2,160,60
14418,2,168,72
17983,1,164,82
21337,2,165,78
14505,2,176,83
21265,2,171,100
16100,1,159,58
22147,1,151,60
18978,2,174,82
19078,1,160,61
19625,2,186,83
16919,1,160,80
21046,2,180,85
15996,2,175,78
19505,1,154,52
19645,1,155,78
23376,1,165,73
22733,2,167,78
19931,1,163,73
19706,2,183,79
16097,2,173,99
18054,2,165,59
16647,1,145,70
20975,2,165,77
20982,1,162,109
20974,1,158,92
14553,1,162,75
20666,1,169,84
18290,2,165,100
18180,2,163,70
22035,1,162,88
21356,2,172,72
22124,1,167,68
21314,2,170,93
21087,1,160,80
21167,1,158,58
18251,1,152,109
18949,1,167,68
18925,2,170,60
18218,1,163,65
20641,1,163,63
19668,1,157,69
22705,1,156,78
21223,1,160,80
15276,1,155,46
21232,1,160,65
23379,2,173,78
19822,1,171,139
18091,1,165,98
20895,1,162,61
19811,2,176,101
20261,2,174,83
20979,2,165,65
16046,2,180,120
16793,1,165,68
18395,1,160,84
18731,2,172,68
14667,1,168,58
22025,2,168,78
15142,1,164,67
19890,2,166,71
21159,2,169,65
22653,2,172,88
18269,1,160,72
20984,1,158,61
18337,1,165,84
22392,1,161,68
21926,2,164,66
19589,1,155,69
16825,1,158,74
14811,2,165,62
22337,1,163,68
15114,2,175,68
15828,1,155,51
23242,2,173,108
18022,1,157,63
21200,2,158,74
21023,1,160,58
15680,1,170,74
20610,1,165,82
15126,2,173,125
21437,1,165,56
21226,1,168,69
15324,2,164,70
21627,1,165,62
16167,1,158,60
18189,2,186,87
19519,1,152,77
19111,1,166,82
20348,2,176,70
21839,1,164,96
17816,1,154,87
20414,1,151,62
18482,1,164,51
20261,1,156,83
20499,1,156,63
16787,2,175,94
17511,2,176,72
17547,1,151,58
17394,1,168,77
18836,1,160,84
21992,1,159,80
18787,1,167,82
21776,1,156,76
18024,1,171,62
22580,2,162,75
22727,1,166,76
15184,1,170,63
18217,1,159,60
20566,1,165,69
14705,1,157,79
19795,1,167,59
14464,1,159,91
19789,1,168,70
20269,1,163,67
18358,2,186,110
15279,1,165,54
19894,1,160,70
23397,2,165,69
19625,1,170,75
19022,2,175,150
18944,1,169,67
19639,1,162,70
16010,2,185,78
19775,2,170,70
23563,1,162,81
21042,1,170,138
18758,1,171,104
19585,1,155,62
21173,2,172,70
20444,1,150,71
23578,2,169,86
16148,1,169,73
21275,1,164,70
19625,2,168,95
17292,1,158,62
19654,1,160,62
19856,1,164,65
22556,2,178,99
15964,1,166,72
18894,1,164,48
19592,1,168,62
19661,1,167,48
21049,2,161,74
21933,1,160,95
22458,1,173,76
17729,2,173,86
21000,1,158,86
20201,1,164,82
18383,2,167,67
19476,2,169,68
18846,1,166,97
18513,1,166,78
19045,2,167,61
18318,1,166,65
19753,1,158,50
23604,2,159,70
19617,2,170,74
20348,2,166,86
17310,2,178,80
15123,1,157,80
22560,1,165,68
15197,2,172,72
19665,2,170,80
22511,1,153,63
18108,1,159,101
14606,1,156,59
21271,2,175,68
18723,1,160,62
21057,1,165,65
18992,1,162,64
22712,2,161,58
18455,2,165,68
20541,1,163,69
16818,2,150,60
15332,2,169,65
20945,1,158,75
19829,2,164,93
21063,2,174,106
23318,2,157,84
15438,1,159,64
19932,1,163,66
20328,1,160,69
20961,1,168,75
22485,1,160,80
22535,1,158,65
20585,1,163,89
22432,2,166,60
21951,1,167,73
20485,1,162,64
21965,1,163,75
18886,1,163,59
14599,2,155,65
14704,2,169,70
18103,2,164,50
20311,1,153,85
21095,1,162,78
15841,1,162,84
15400,2,170,80
23339,2,176,95
22767,1,153,58
17445,2,170,65
18189,1,154,79
21984,1,150,71
23280,2,172,79
21758,1,166,80
21030,2,167,58
17475,1,164,71
21216,2,170,74
22475,2,164,87
22605,2,169,65
18278,1,168,74
20999,2,169,62
21238,1,153,90
21657,2,165,72
21177,1,161,104
18205,1,156,69
21089,2,175,91
21769,2,162,74
15205,1,162,71
18446,1,170,74
22423,1,164,79
21645,1,153,56
21111,1,163,91
23121,2,174,67
22597,2,166,55
22112,1,160,53
21140,2,186,89
16558,1,169,79
23289,1,160,113
15479,1,161,60
18209,1,162,95
18266,1,162,64
21066,1,167,70
22635,1,170,70
23368,1,161,71
18193,1,163,56
22345,2,170,67
21853,2,152,57
23532,2,162,71
20190,2,170,75
20995,1,158,59
16772,1,158,78
18403,1,167,69
14416,1,155,68
21893,1,163,66
19745,1,152,72
21815,2,170,85
19638,1,170,79
22644,1,166,131
18925,1,157,84
17066,1,159,79
14540,2,172,64
23193,1,165,86
20961,2,171,65
17539,2,167,84
18337,2,163,70
19762,1,158,62
19588,1,178,85
17475,2,173,70
21929,1,165,65
19596,1,158,78
23261,2,170,77
20172,1,158,90
21657,1,150,46
20410,1,153,83
19159,1,159,62
19580,2,178,112
19634,1,174,65
17601,2,187,103
16232,2,170,70
19122,2,168,75
16857,1,160,85
21078,1,150,80
20492,2,175,72
16785,2,171,74
21673,2,170,88
20409,1,167,71
16874,1,153,65
21680,1,170,70
21836,1,160,62
18976,1,163,67
15947,1,161,55
19041,1,155,72
21143,2,169,85
17850,2,178,91
18210,1,173,70
21677,2,171,78
23333,1,166,71
16783,1,164,87
22606,1,165,70
14393,1,178,76
21909,1,162,90
20497,2,179,106
22644,1,159,58
14590,1,175,65
19808,2,173,72
15176,1,168,56
20572,2,175,71
16670,1,164,78
21709,1,155,58
17739,2,169,69
14402,1,151,63
20534,1,160,96
16803,1,156,74
20369,2,178,105
17378,1,167,89
18171,2,159,75
22651,1,168,66
22627,1,150,68
21911,1,166,90
22556,2,174,74
18989,1,165,62
16562,1,160,85
21601,1,173,94
19116,2,171,71
14612,1,171,52
20495,2,162,80
21644,1,162,77
18086,1,160,64
20264,1,156,52
20441,1,170,70
21820,1,160,55
18370,1,158,70
16786,2,171,72
20407,1,165,64
18104,2,168,63
22082,1,164,84
16737,1,162,68
16237,2,159,65
23479,2,180,70
20258,1,157,116
16065,1,163,82
22737,1,150,45
18051,1,168,66
19816,1,148,81
17719,2,180,80
21307,1,145,52
18045,1,158,59
20502,1,163,93
21062,2,168,94
18345,1,157,83
19657,1,154,92
15283,1,153,49
18286,2,173,86
16166,1,161,65
18275,1,157,58
23614,1,157,78
19704,1,160,102
23204,1,152,66
19858,1,165,64
21786,1,155,60
21115,1,166,67
16534,1,164,73
22841,1,160,59
18954,1,165,105
15193,2,163,67
19714,1,165,99
21645,2,171,84
20490,1,162,60
14531,1,160,69
20537,1,149,54
17042,1,160,80
21804,1,147,71
22604,1,160,65
23094,1,164,102
22516,1,164,75
20394,2,165,88
21917,1,160,66
14449,2,170,67
18131,1,167,67
15952,1,157,50
21179,2,171,68
18382,2,170,78
21075,1,168,80
21973,2,159,51
16714,2,185,86
15071,1,168,70
22018,1,170,70
22124,1,160,72
21614,2,180,99
19515,1,155,100
15895,1,168,70
20193,1,171,76
18229,2,170,90
23462,2,162,63
20622,1,155,95
18395,1,159,77
15216,1,165,65
18305,1,148,51
18782,1,168,65
16618,1,166,67
15902,1,165,61
15398,1,160,68
19072,1,150,60
21047,1,156,65
19742,1,146,75
21324,1,164,64
20381,1,171,79
22541,2,162,95
23488,2,164,70
21831,1,157,64
18038,1,165,75
